# Glaciological.Mass.Balance,,,,,,,,,,,,,,,,,,
# ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.).,,,,,,,,,,,,,,,,,,
# INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS.,,,,,,,,,,,,,,,,,,
"# When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns.",,,,,,,,,,,,,,,,,,
"# WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01",,,,,,,,,,,,,,,,,,
# Note that this file contains only a minimal set of data fields.,,,,,,,,,,,,,,,,,,
# Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf).,,,,,,,,,,,,,,,,,,
# Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch).,,,,,,,,,,,,,,,,,,
PU,NAME,WGMS_ID,LATITUDE,LONGITUDE,GEOREG1,GEOREG2,REFERENCE_YEAR,SURVEY_YEAR,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,ELA,AAR,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS,GLACIER_REGION_CODE
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1993,1994,910,-1010,-100,1350,57,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1994,1995,1450,-1370,80,1351,57,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1995,1996,1040,-1510,-470,1475,30,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1996,1997,1770,-2040,-270,1485,30,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1997,1998,950,-1420,-470,1485,42,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1998,1999,960,-1350,-390,,33,,,,Seasonal data provided by Atsumu Ohmura. AAR compiled from the literature by S. Mernild.,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1999,2000,1150,-1390,-240,1411,40,,,,Seasonal data provided by Atsumu Ohmura.,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2000,2001,520,-1280,-760,1530,12,,,WGMS (2008): FoG 2000-2005 (Vol. IX).,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2001,2002,1190,-2070,-879,1508,14,,,WGMS (2008): FoG 2000-2005 (Vol. IX).,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2002,2003,830,-2270,-1440,1720,1,,,WGMS (2005): GMBB No. 8 (2002-2003). WGMS (2008): FoG 2000-2005 (Vol. IX).,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2004,2005,1150,-2320,-1170,,NA,,,WGMS (2008): FoG 2000-2005 (Vol. IX).,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2005,2006,890,-2520,-1630,1505,19,Peter Jansson,,WGMS (2009): GMBB No. 10 (2006-2007). WGMS (2012): FoG 2005-2010 (Vol. X).,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2007,2008,1630,-1280,350,1380,43,,,WGMS (2011): GMBB No. 11 (2008-2009). WGMS (2012): FoG 2005-2010 (Vol. X).,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2008,2009,1450,-1950,-500,1430,36,,,WGMS (2011): GMBB No. 11 (2008-2009). WGMS (2012): FoG 2005-2010 (Vol. X).,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2009,2010,790,-1870,-1080,1670,13,,,WGMS (2013): GMBB No. 12 (2010-2011). WGMS (2012): FoG 2005-2010 (Vol. X).,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2010,2011,500,-2610,-2110,>1930.0,0,,,WGMS (2013): GMBB No. 12 (2010-2011).,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2011,2012,1000,-980,20,1380,44,Per Holmlund and Peter Jansson,Stockholm University,WGMS (2015): GGCB No. 1 (2012-2013).,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2014,2015,1100,-943,-43,1370,41,Peter Jansson,Stockholm University,http://bolin.su.se/data/tarfala/,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2015,2016,780,-1430,-650,1445,30,Helanow C. (NG); Tarfala research station,"Department of Physical Geography, Stockholm University (NG); Swedish Infrastructure for Ecosystem Science (SITES)",http://bolin.su.se/data/tarfala/,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2016,2017,1130,-1310,-170,1399,38,Helanow C. (NG); Tarfala research station,"Department of Physical Geography, Stockholm University (NG); Swedish Infrastructure for Ecosystem Science (SITES)",http://bolin.su.se/data/tarfala/,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2017,2018,720,-2310,-1590,1574,4,Helanow C. (NG); Pia Eriksson (NG); Tarfala research station,"Department of Physical Geography, Stockholm University (NG); Swedish Infrastructure for Ecosystem Science (SITES)",https://data.fieldsites.se/portal/; http://bolin.su.se/data/tarfala/,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2018,2019,1160,-1820,-650,1468,24,Helanow C. (NG); Pia Eriksson (NG); Tarfala research station,"Department of Physical Geography, Stockholm University (NG); Swedish Infrastructure for Ecosystem Science (SITES)",https://data.fieldsites.se/portal/; http://bolin.su.se/data/tarfala/,,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2019,2020,1421,-1527,-106,1499,40,,,,"MASS_BALANCE_POINT.DENSITY: For winter balances, interval densities of snow used to create a linear relationship between cumulative snow depth and cumulative water equivalence. For annual balances, density of ice as standard (917 kg/m^3) and density of snow taken as 400 kg/m^3",SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2020,2021,821,-1321,-500,1492,34,,,,"MASS_BALANCE_POINT.DENSITY: For winter balances, interval densities of snow used to create a linear relationship between cumulative snow depth and cumulative water equivalence. For annual balances, density of ice as standard (917 kg/m^3) and density of snow taken as 400 kg/m^3",SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2021,2022,1084,-2027,-943,1550,16,,Tarfala Research Station,,MASS_BALANCE_POINT.DENSITY: Ice assumed as 917 kg/m3 and snow as 400 kg/m3 where BALANCE_CODE=BA. Assumed same as Storglaciären (WGMS_ID=332) for same year where BALANCE_CODE=BW.,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",2022,2023,842,-2407,-1565,1403,0,Tarfala Research Station staff,,,,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1945,1946,990,-1530,-540,1480,41,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1946,1947,1020,-2900,-1880,1600,18,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1947,1948,1020,-1310,-290,1400,51,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1948,1949,1920,-1330,590,1410,49,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1949,1950,1530,-2280,-750,1550,27,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1950,1951,880,-1650,-770,1500,37,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1951,1952,1160,-1120,40,1450,46,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1952,1953,1800,-2320,-520,1530,29,,,,Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1953,1954,930,-1860,-930,1540,27,,,,Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1954,1955,1260,-1620,-360,1470,42,,,,Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1955,1956,1260,-1560,-300,1500,37,,,,Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1956,1957,1370,-1710,-340,1480,40,,,,Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1957,1958,1440,-1820,-380,1510,32,,,,Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1958,1959,1030,-1800,-770,1540,27,,,,Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1959,1960,680,-2290,-1610,1620,15,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1960,1961,840,-1630,-790,1575,21,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M.(2002): AAR = 35. Seasonal data provided by Atsumu Ohmura.",SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1961,1962,1100,-670,430,1400,54,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1962,1963,1450,-1650,-200,1425,51,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1963,1964,1590,-1160,430,1400,54,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1964,1965,1490,-990,500,1400,54,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1965,1966,1180,-1730,-550,1500,40,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1966,1967,1370,-1550,-180,1500,40,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1967,1968,1340,-1580,-240,1480,44,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1968,1969,1030,-1930,-900,1570,24,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M.(2002): AAR = 32. Seasonal data provided by Atsumu Ohmura.",SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1969,1970,1040,-2410,-1370,1610,17,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1970,1971,1340,-1540,-190,1490,41,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1971,1972,1390,-2430,-1050,1550,28,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1972,1973,1670,-1630,50,1490,41,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1973,1974,1310,-1650,-340,1480,43,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1974,1975,1980,-810,1170,1380,63,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1975,1976,1930,-1660,270,1440,48,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M.(2002): AAR = 43.",SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1976,1977,1230,-1030,200,1420,51,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1977,1978,1460,-1540,-80,1469,45,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1978,1979,1540,-1760,-210,1497,39,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1979,1980,980,-2250,-1270,1591,20,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1980,1981,1163,-1356,-190,1500,39,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M.(2002): ELA = 1510, AAR = 39.3.",SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1981,1982,1496,-1233,260,1420,52,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M.(2002): ELA = 1385, AAR = 51.8.",SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1982,1983,1472,-1190,280,1402,54,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M.(2002): ELA = 1375, AAR = 54.",SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1983,1984,1828,-1708,120,1472,45,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M.(2002): ELA = 1460, AAR = 44.6.",SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1984,1985,990,-1710,-720,1570,33,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1985,1986,1609,-1685,-60,1430,52,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M.(2002): ELA = 1465, AAR = 44.5.",SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1986,1987,1694,-1219,480,1410,55,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M.(2002): ELA = 1370, AAR = 55.8.",SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1987,1988,1424,-2263,-840,1564,27,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1988,1989,2580,-1340,1240,1374,66,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1989,1990,2259,-1666,590,1495,60,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!","Data from Dyurgerov, M.(2002): ELA = 1395, AAR = 60.",SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1990,1991,1680,-1510,170,1460,47,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1991,1992,2235,-1356,880,1393,58,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1992,1993,2250,-1250,1000,1397,58,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,STORGLACIAEREN,332,67.903,18.568,Scandinavia,"Scandinavia, North",1993,1994,1060,-1430,-370,1500,41,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 39, 92, 93, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
